Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Bus,Transportation Check Passenger Train,Worksite Enforcement
HONG KONG,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,11.11,44.44,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNGARY,0.0,0.0,0.0,13.04,39.13,0.0,0.0,0.0,0.0,0.0,0.0,13.04,30.43,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0
INDIA,1.74,0.12,0.0,3.11,27.24,2.49,0.0,0.0,1.12,0.0,0.0,19.65,37.44,0.0,0.0,0.75,5.97,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0
INDONESIA,0.0,0.0,0.0,0.0,16.22,0.0,0.0,0.0,0.0,0.0,0.0,45.95,35.14,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAN,0.41,0.0,0.0,10.7,8.23,0.41,0.0,0.0,2.47,0.0,0.41,43.62,26.34,0.0,0.0,0.82,5.35,0.41,0.0,0.82,0.0,0.0,0.0,0.0,0.0
IRAQ,0.0,0.0,0.0,8.51,12.77,6.38,0.0,0.0,0.0,0.0,0.0,17.02,46.81,0.0,0.0,0.0,6.38,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0
IRELAND,0.0,0.0,0.0,2.63,50.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,28.95,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISRAEL,2.27,0.0,0.0,2.27,29.55,2.27,0.0,0.0,6.82,0.0,2.27,27.27,18.18,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITALY,2.08,0.0,0.0,0.0,39.58,6.25,0.0,0.0,0.0,0.0,0.0,31.25,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08
IVORY COAST,0.0,0.0,0.0,0.0,47.37,5.26,0.0,0.0,0.0,0.0,0.0,21.05,21.05,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMAICA,2.06,0.0,0.0,6.86,41.85,5.66,0.0,0.0,2.74,0.0,0.51,18.87,17.32,0.0,0.34,0.17,1.54,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0
JAPAN,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JORDAN,0.78,0.0,0.0,4.69,30.47,1.56,0.0,0.0,0.0,0.0,0.0,14.84,41.41,0.0,0.0,0.0,4.69,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.78
KAZAKHSTAN,0.0,0.0,0.0,0.0,23.53,2.94,0.0,0.0,0.0,0.0,0.0,26.47,47.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENYA,0.0,0.0,0.0,3.45,44.83,5.17,0.0,0.0,0.0,0.0,0.0,17.24,29.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOREA,0.0,0.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOSOVO,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUWAIT,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYRGYZSTAN,0.0,0.0,0.0,0.0,23.33,0.0,0.0,0.0,0.0,0.0,0.0,33.33,36.67,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAOS,0.67,0.0,0.0,2.01,22.82,6.71,0.0,0.0,0.0,0.0,0.0,22.82,38.93,0.0,0.0,0.0,4.03,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0
LATVIA,16.67,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEBANON,0.0,0.0,0.0,3.7,14.81,0.0,0.0,0.0,3.7,0.0,0.0,37.04,40.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIBERIA,1.72,0.0,0.0,8.62,17.24,18.97,0.0,0.0,0.0,0.0,0.0,12.07,34.48,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIBYA,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LITHUANIA,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAWI,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAYSIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALI,0.0,0.0,0.0,3.7,7.41,0.0,0.0,0.0,0.0,0.0,0.0,22.22,59.26,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARSHALL ISLANDS,17.65,0.0,0.0,0.0,55.88,17.65,0.0,0.0,0.0,0.0,0.0,5.88,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAURITANIA,0.65,0.0,0.0,0.0,13.07,0.65,0.0,0.0,0.0,0.0,0.0,15.03,63.4,0.0,0.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAURITIUS,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEXICO,2.05,0.04,0.01,8.77,47.34,3.2,0.0,0.0,0.65,0.08,0.75,16.22,17.24,0.01,0.24,0.36,1.53,0.13,0.02,1.04,0.07,0.0,0.01,0.0,0.26
"MICRONESIA, FEDERATED STATES OF",5.8,0.0,0.0,1.45,44.93,14.49,0.0,0.0,0.0,0.0,0.0,26.09,2.9,0.0,0.0,0.0,1.45,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
MOLDOVA,13.33,0.0,0.0,6.67,20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,40.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONGOLIA,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTENEGRO,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,16.67,0.0,0.0,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
