Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
BAHAMAS,14.78,0.0,0.0,0.87,4.35,0.87,0.0,3.48,0.0,0.0,0.0,0.0,0.0,60.87,10.43,0.87,0.0,0.87,0.87,0.87,0.0,0.0,0.0,0.87,0.0,0.0
BAHRAIN,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANGLADESH,4.35,2.9,2.9,2.9,0.0,1.45,0.0,8.7,1.45,0.0,0.0,0.0,4.35,13.04,0.0,37.68,1.45,4.35,1.45,0.0,0.0,0.0,2.9,0.0,0.0,10.14
BARBADOS,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
BELARUS,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,0.0,0.0,14.81,18.52,0.0,0.0,7.41,0.0,0.0,0.0,11.11,0.0
BELGIUM,0.0,0.0,7.14,0.0,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,7.14,42.86,0.0,7.14,0.0,0.0,0.0,14.29,0.0,7.14,0.0,0.0,0.0,0.0
BELIZE,5.48,2.74,0.0,1.37,5.48,12.33,1.37,5.48,0.0,0.0,1.37,9.59,20.55,2.74,9.59,1.37,2.74,4.11,2.74,1.37,1.37,0.0,2.74,1.37,1.37,2.74
BENIN,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,9.09,18.18,0.0,0.0,18.18,0.0,0.0,0.0,0.0,27.27
BHUTAN,3.45,0.0,1.72,1.72,6.9,0.0,0.0,31.03,0.0,0.0,0.0,1.72,0.0,0.0,0.0,1.72,0.0,31.03,1.72,5.17,0.0,0.0,0.0,1.72,12.07,0.0
BOLIVIA,2.06,2.47,0.82,0.41,1.65,1.65,0.0,0.0,0.0,0.0,1.23,0.41,0.82,5.76,2.88,0.41,0.41,2.06,0.0,0.82,0.41,0.0,0.41,0.82,0.41,74.07
BOSNIA-HERZEGOVINA,0.0,0.0,12.5,6.25,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,6.25,6.25,0.0,0.0,0.0,0.0,18.75,0.0
BOTSWANA,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
BRAZIL,5.3,1.85,53.02,1.97,0.8,0.99,0.06,1.23,0.25,0.0,0.12,0.12,0.18,17.02,1.05,0.25,6.29,5.8,0.06,0.49,0.43,0.31,0.49,0.43,0.49,0.99
BRITISH VIRGIN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,0.0,22.22,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,11.11,11.11,0.0,0.0,11.11,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BURKINA FASO,0.0,0.0,3.7,7.41,3.7,3.7,7.41,0.0,0.0,0.0,0.0,7.41,0.0,7.41,3.7,18.52,29.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0
BURMA,4.05,0.0,0.0,2.7,31.08,10.81,2.7,0.0,0.0,0.0,0.0,5.41,0.0,1.35,4.05,2.7,0.0,0.0,4.05,0.0,0.0,0.0,0.0,2.7,27.03,1.35
