Citizenship Country,Female,Male,Unknown,Female (%),Male (%),Unknown (%)
DJIBOUTI,2,5,0,28.57,71.43,0.0
DOMINICA,0,23,0,0.0,100.0,0.0
DOMINICAN REPUBLIC,698,4343,20,13.79,85.81,0.4
EAST TIMOR,0,0,1,0.0,0.0,100.0
ECUADOR,2794,6504,40,29.92,69.65,0.43
EGYPT,17,216,1,7.26,92.31,0.43
EL SALVADOR,1558,10421,49,12.95,86.64,0.41
EQUATORIAL GUINEA,6,12,0,33.33,66.67,0.0
ERITREA,6,61,1,8.82,89.71,1.47
ESTONIA,1,3,0,25.0,75.0,0.0
ESWATINI,1,0,0,100.0,0.0,0.0
ETHIOPIA,15,86,2,14.56,83.5,1.94
FIJI,1,9,0,10.0,90.0,0.0
FINLAND,1,3,0,25.0,75.0,0.0
FRANCE,13,55,1,18.84,79.71,1.45
FRENCH GUIANA,0,2,0,0.0,100.0,0.0
FRENCH POLYNESIA,1,0,0,100.0,0.0,0.0
GABON,0,8,0,0.0,100.0,0.0
GAMBIA,0,32,1,0.0,96.97,3.03
GEORGIA,25,220,2,10.12,89.07,0.81
GERMANY,13,38,1,25.0,73.08,1.92
GHANA,24,150,0,13.79,86.21,0.0
GREECE,0,18,0,0.0,100.0,0.0
GRENADA,0,11,0,0.0,100.0,0.0
GUADELOUPE,0,6,0,0.0,100.0,0.0
GUATEMALA,3021,29363,174,9.28,90.19,0.53
GUINEA,26,138,2,15.66,83.13,1.2
GUINEA-BISSAU,0,6,0,0.0,100.0,0.0
GUYANA,14,101,0,12.17,87.83,0.0
HAITI,203,1116,23,15.13,83.16,1.71
HONDURAS,3391,26065,124,11.46,88.12,0.42
HONG KONG,3,12,0,20.0,80.0,0.0
HUNGARY,3,38,1,7.14,90.48,2.38
ICELAND,1,0,0,100.0,0.0,0.0
INDIA,169,1721,4,8.92,90.87,0.21
INDONESIA,10,48,0,17.24,82.76,0.0
IRAN,57,297,0,16.1,83.9,0.0
IRAQ,5,98,0,4.85,95.15,0.0
IRELAND,18,57,0,24.0,76.0,0.0
ISRAEL,5,83,0,5.68,94.32,0.0
ITALY,7,109,0,6.03,93.97,0.0
IVORY COAST,2,35,1,5.26,92.11,2.63
JAMAICA,171,1355,14,11.1,87.99,0.91
JAPAN,2,7,0,22.22,77.78,0.0
JORDAN,11,269,0,3.93,96.07,0.0
KAZAKHSTAN,6,51,0,10.53,89.47,0.0
KENYA,15,121,0,11.03,88.97,0.0
KOREA,1,10,0,9.09,90.91,0.0
KOSOVO,1,24,0,4.0,96.0,0.0
KUWAIT,0,8,0,0.0,100.0,0.0
KYRGYZSTAN,6,85,0,6.59,93.41,0.0
LAOS,6,214,1,2.71,96.83,0.45
LATVIA,1,16,1,5.56,88.89,5.56
LEBANON,1,60,0,1.64,98.36,0.0
LIBERIA,10,128,1,7.19,92.09,0.72
LIBYA,0,7,0,0.0,100.0,0.0
LITHUANIA,1,12,0,7.69,92.31,0.0
MALAWI,2,4,0,33.33,66.67,0.0
MALAYSIA,0,9,0,0.0,100.0,0.0
MALI,1,48,0,2.04,97.96,0.0
MALTA,0,2,0,0.0,100.0,0.0
MARSHALL ISLANDS,13,156,0,7.69,92.31,0.0
MAURITANIA,4,311,0,1.27,98.73,0.0
MAURITIUS,0,3,0,0.0,100.0,0.0
MEXICO,6627,92150,428,6.68,92.89,0.43
"MICRONESIA, FEDERATED STATES OF",10,180,0,5.26,94.74,0.0
MOLDOVA,6,21,0,22.22,77.78,0.0
MONGOLIA,0,9,0,0.0,100.0,0.0
MONTENEGRO,1,9,0,10.0,90.0,0.0
MONTSERRAT,0,2,0,0.0,100.0,0.0
MOROCCO,7,98,0,6.67,93.33,0.0
MOZAMBIQUE,1,4,0,20.0,80.0,0.0
NAMIBIA,2,1,0,66.67,33.33,0.0
NEPAL,10,159,1,5.88,93.53,0.59
NETHERLANDS,5,26,0,16.13,83.87,0.0
