Citizenship Country,Apprehension AOR,n_arrests
BULGARIA,Los Angeles Area of Responsibility,1
BULGARIA,Miami Area of Responsibility,3
BULGARIA,Salt Lake City Area of Responsibility,1
BURKINA FASO,Atlanta Area of Responsibility,4
BURKINA FASO,Boston Area of Responsibility,1
BURKINA FASO,New Orleans Area of Responsibility,1
BURKINA FASO,New York City Area of Responsibility,3
BURKINA FASO,Newark Area of Responsibility,6
BURKINA FASO,Washington Area of Responsibility,1
BURMA,Atlanta Area of Responsibility,3
BURMA,Chicago Area of Responsibility,33
BURMA,Dallas Area of Responsibility,5
BURMA,Denver Area of Responsibility,1
BURMA,HQ Area of Responsibility,1
BURMA,Houston Area of Responsibility,6
BURMA,New Orleans Area of Responsibility,3
BURMA,New York City Area of Responsibility,1
BURMA,Philadelphia Area of Responsibility,1
BURMA,Phoenix Area of Responsibility,1
BURMA,Seattle Area of Responsibility,1
BURMA,St. Paul Area of Responsibility,14
BURUNDI,Boston Area of Responsibility,7
BURUNDI,Chicago Area of Responsibility,1
BURUNDI,Dallas Area of Responsibility,2
BURUNDI,Detroit Area of Responsibility,1
BURUNDI,Philadelphia Area of Responsibility,1
BURUNDI,Phoenix Area of Responsibility,3
BURUNDI,St. Paul Area of Responsibility,1
BURUNDI,Washington Area of Responsibility,1
CAMBODIA,Atlanta Area of Responsibility,2
CAMBODIA,Boston Area of Responsibility,4
CAMBODIA,Chicago Area of Responsibility,1
CAMBODIA,Dallas Area of Responsibility,2
CAMBODIA,Detroit Area of Responsibility,4
CAMBODIA,Los Angeles Area of Responsibility,5
CAMBODIA,Miami Area of Responsibility,3
CAMBODIA,New Orleans Area of Responsibility,3
CAMBODIA,Philadelphia Area of Responsibility,2
CAMBODIA,San Diego Area of Responsibility,1
CAMBODIA,San Francisco Area of Responsibility,13
CAMBODIA,Seattle Area of Responsibility,4
CAMBODIA,St. Paul Area of Responsibility,2
CAMBODIA,Washington Area of Responsibility,1
CAMEROON,Atlanta Area of Responsibility,2
CAMEROON,Baltimore Area of Responsibility,20
CAMEROON,Boston Area of Responsibility,4
CAMEROON,Chicago Area of Responsibility,1
CAMEROON,Dallas Area of Responsibility,6
CAMEROON,Detroit Area of Responsibility,6
CAMEROON,Houston Area of Responsibility,3
CAMEROON,Los Angeles Area of Responsibility,1
CAMEROON,Miami Area of Responsibility,4
CAMEROON,New Orleans Area of Responsibility,12
CAMEROON,New York City Area of Responsibility,1
CAMEROON,Newark Area of Responsibility,1
CAMEROON,Philadelphia Area of Responsibility,2
CAMEROON,Phoenix Area of Responsibility,3
CAMEROON,San Diego Area of Responsibility,10
CAMEROON,San Francisco Area of Responsibility,1
CAMEROON,St. Paul Area of Responsibility,1
CAMEROON,Washington Area of Responsibility,5
CANADA,Atlanta Area of Responsibility,13
CANADA,Baltimore Area of Responsibility,1
CANADA,Boston Area of Responsibility,4
CANADA,Buffalo Area of Responsibility,3
CANADA,Chicago Area of Responsibility,9
CANADA,Dallas Area of Responsibility,4
CANADA,Denver Area of Responsibility,2
CANADA,Detroit Area of Responsibility,10
CANADA,El Paso Area of Responsibility,3
CANADA,Houston Area of Responsibility,3
CANADA,Los Angeles Area of Responsibility,5
CANADA,Miami Area of Responsibility,14
CANADA,New Orleans Area of Responsibility,13
CANADA,New York City Area of Responsibility,2
CANADA,Newark Area of Responsibility,6
CANADA,Philadelphia Area of Responsibility,7
CANADA,Phoenix Area of Responsibility,7
CANADA,Salt Lake City Area of Responsibility,2
CANADA,San Antonio Area of Responsibility,3
CANADA,San Francisco Area of Responsibility,4
CANADA,Seattle Area of Responsibility,19
CANADA,St. Paul Area of Responsibility,4
CANADA,Washington Area of Responsibility,2
CAPE VERDE,Baltimore Area of Responsibility,1
CAPE VERDE,Boston Area of Responsibility,22
CAPE VERDE,Philadelphia Area of Responsibility,1
CAPE VERDE,Salt Lake City Area of Responsibility,1
CENTRAL AFRICAN REPUBLIC,Boston Area of Responsibility,1
CENTRAL AFRICAN REPUBLIC,Dallas Area of Responsibility,1
CENTRAL AFRICAN REPUBLIC,Detroit Area of Responsibility,1
CHAD,Baltimore Area of Responsibility,1
CHAD,Boston Area of Responsibility,1
CHAD,Dallas Area of Responsibility,1
CHAD,Detroit Area of Responsibility,1
CHAD,New York City Area of Responsibility,2
CHAD,Phoenix Area of Responsibility,1
CHAD,San Antonio Area of Responsibility,2
CHAD,Seattle Area of Responsibility,2
CHILE,Atlanta Area of Responsibility,18
CHILE,Baltimore Area of Responsibility,3
CHILE,Boston Area of Responsibility,17
CHILE,Buffalo Area of Responsibility,7
CHILE,Chicago Area of Responsibility,19
