Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
IVORY COAST,10.53,0.0,0.0,5.26,47.37,21.05,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMAICA,2.3,0.0,0.0,11.91,34.9,10.97,0.0,0.0,1.67,0.1,0.52,9.3,21.84,0.0,0.0,0.1,0.94,0.0,0.0,5.43,0.0,0.0,0.0,0.0
JAPAN,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JORDAN,3.29,0.0,0.0,15.13,20.39,1.97,0.0,0.0,34.87,0.0,0.0,5.92,14.47,0.0,0.66,0.0,1.32,0.0,0.0,1.97,0.0,0.0,0.0,0.0
KAZAKHSTAN,0.0,0.0,0.0,4.35,21.74,4.35,0.0,0.0,39.13,0.0,0.0,17.39,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENYA,1.28,0.0,0.0,7.69,52.56,11.54,0.0,0.0,5.13,0.0,0.0,6.41,10.26,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0
KOREA,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOSOVO,0.0,0.0,0.0,45.0,15.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUWAIT,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYRGYZSTAN,0.0,0.0,0.0,0.0,6.56,1.64,0.0,0.0,75.41,0.0,0.0,3.28,11.48,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAOS,2.78,0.0,0.0,16.67,15.28,41.67,0.0,0.0,0.0,0.0,0.0,5.56,12.5,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0
LATVIA,0.0,0.0,0.0,58.33,25.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0
LEBANON,0.0,0.0,0.0,41.18,32.35,2.94,0.0,0.0,2.94,0.0,0.0,5.88,8.82,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0
LIBERIA,2.47,0.0,0.0,14.81,29.63,24.69,0.0,0.0,0.0,0.0,0.0,7.41,12.35,0.0,0.0,0.0,1.23,0.0,0.0,7.41,0.0,0.0,0.0,0.0
LIBYA,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
